_id,name,slug,image,page_title,page_content,status,createdAt,updatedAt
652046956f9186df530e31a2,Hire On,hire-on,img/icons/hire.png,Hire On Services,"<p>Instead of purchasing an item or service outright, individuals or businesses can rent or lease it for a specified period in (City). Our platform offers a vast array of services that includes Rental cars, Motorcycles, Bicycles, and more in (City). Real estate properties, such as apartments, houses, vacation homes, or commercial spaces. Businesses that provide items for parties and events, such as tents, tables, chairs, linens, sound systems, and decorations which are commonly used for weddings, corporate events, and social gatherings. Moreover, it includes renting tools, machinery, construction equipment, audio-visual equipment, camping gear, and more.</p>",Active,2023-08-14T17:54:22.951Z,2023-10-09T09:44:21.140Z
652046956f9186df530e31a3,Daily Need,daily-need,img/icons/calendar.png,Daily Needs Services,"Daily need services are essential businesses that cater everyday requirements of individuals and households. These services encompass a wide range of offerings, including grocery stores, Pharmacies, Bakeries, Laundry services, Hair salons, Beauty Parlors, Tutoring Services, Fitness Studios, sports centers, and Pet care services in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a4,Personal Care,personal-care,img/icons/personal.png,Personal Care Services,"Personal care services are establish for enhancing people's self-esteem, promoting relaxation, and addressing various grooming and health needs.Some common personal care businesses and services include: Hair Salons, Spas and Wellness Centers, Beauty Salons, Skin Care Clinics, Dental Care and Massage Therapy Studios in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a5,Medical,medical,img/icons/medical.png,Medical & Healthcare Services,"The medical category encompasses a broad range of services, facilities, and professionals dedicated to promoting and maintaining health, diagnosing and treating illnesses, and improving the overall well-being of individuals. Our platform offers a vast array of professionals and medical institutions that includes Hospitals, Clinics, Pharmacies, Ambulance Services, Medical labs and more in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a6,Education,education,img/icons/education.png,Education Institutions,"Education category encompass a wide range of schools, colleges, universities, coaching institutes and other educational stakeholders in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a7,House Hold,house-hold,img/icons/moving-house.png,House Holds Services,"Looking for professionals or companies to perform various tasks and responsibilities related to maintaining and managing their homes. Here are some common household service categories: Cleaning Services, Home Maintenance and Repair, Pest Control, Moving and Relocation Services, Home Security, and more in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a8,Public Services,public-services,img/icons/public-security.png,Public Services,"These offices are responsible for smooth operation of government policies and programs. It includes Government Administrative services, Law Enforcement services and other Public Utility services.",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31a9,Marriage,marriage,img/icons/marriage.png,Marriage Services,"Are you dreaming of a flawless wedding day, where every detail is meticulously planned and executed to perfection? your trusted partner in turning your dream wedding into a reality. From finding the ideal venue to selecting the best caterers, photographers, decorators, and other essential vendors in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31aa,Sports Hobbies,sports-hobbies,img/icons/sports.png,Sports & Hobbies Classes,"Whether you're a seasoned athlete or a beginner looking to explore a new hobby, we've best Personal Trainer, Fitness Instructor, Music Teacher and other professionals with us in (City).",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31ab,Internet,internet,img/icons/internet.png,Internet Services,Looking for Internet related services vendors in (city) catering to the diverse needs of their customers. We've facilitator connected with us for the different services.,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31ac,Restaurant,restaurant,img/icons/restaurant.png,Restaurants,"Looking for a specialized restaurant in (city) from specific countries or regions, such as Italian, Chinese, Indian, Mexican, Thai, etc. We've all types of restaurants listed for different customer tastes.",Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
652046956f9186df530e31ad,Electronic Store,electronic-store,img/icons/store.png,Electronic Appliances Store,"Instead of purchasing an item or service outright, individuals or businesses can rent or lease it for a specified period in (City). Our platform offers a vast array of services that includes Rental cars, Motorcycles, Bicycles, and more in (City). Real estate properties, such as apartments, houses, vacation homes, or commercial spaces. Businesses that provide items for parties and events, such as tents, tables, chairs, linens, sound systems, and decorations which are commonly used for weddings, corporate events, and social gatherings. Moreover, it includes renting tools, machinery, construction equipment, audio-visual equipment, camping gear, and more.",Active,2023-08-14T17:54:22.951Z,2023-10-27T11:13:30.142Z
